stop_id,stop_name
740059896,Annebergsvägen
740031796,Annebo
740050365,Annebo
740065660,Anneboda
740054558,Anneborg
740055923,Anneborg
740037984,Annedal
740068720,Annedal
740035845,Annedalsgatan
740059078,Annedalskyrkan
740064075,Annedalsvägen
740024633,Annefors
740065888,Annehill
740059079,Anneholmsgatan
740041443,Annekärr
740060922,Annekärr
740012213,Annelund Mörlanda affär
740004220,Annelund TA Östra
740060992,Annelundsvägen
740063039,Annelystgatan
740013197,Annero
740038404,Annero
740059946,Annero
740062746,Annero
740037487,Annerovägen
740024713,Annerstad västra
740024712,Annerstad östra
740069095,Annerstavägen
740041603,Annerödsvägen
740060915,Annesjövägen
740059893,Annestorpsvägen
740026599,Annevare
740047859,Annexet
740048774,Annikaholen
740069887,Anningåkre
740060369,Anrås södra
740070976,Ansarve
740046157,Ansgariegatan
740071562,Ansgariegatan (på Lundagatan)
740039357,Ansgarsgården
740069827,Ansgarsvägen
740029305,Ansjö
740045811,Anslagstavlan Mockfjärd
740011352,Ansmark
740013681,Ansmark E4
740049259,Ansmark Östra Byväg
740043711,Ansta
740073890,Ansta
740046758,Anstahyttan
740026513,Antasstugan
740012509,Anten
740022641,Anten kapell
740060328,Antennen
740069376,Antennvägen
740015096,Antjärn E4
740027656,Antjärn vändplan
740014859,Antnäs E4
740027296,Antnäs Mantalsvägen väg 94
740040210,Antnäs OKQ8 väg 94
740072969,Antnäs Sörbyhallen väg 94
740034947,Antons väg
740044756,Antorpet
740014791,Anttis affären
740014795,Anttis väg 395
740067201,Antuna
740042925,Anulvsbäcken
740026261,"Anumark E4, Umeå"
740043766,Anundshög
740053422,Anvedebo bro
740065230,Anvik
740017662,Anviken
740017749,Anviken västra
740013407,Anvågen
740061506,Anåsbergsvägen
740043462,Apalby
740072264,Apalle gård
740050291,Apelboda
740035771,Apelholm
740069605,Apelviksudd
740051055,Apelvägen
740065497,Apelvägen
740076328,Apelåker
740032567,Aplakärr
740035769,Aplamon
740065434,Aplaredsmotet
740045095,Apleröd
740060318,Apleröd
740041199,Apleröd östra
740056929,Aplungstorp
740010122,Apoteket Grängesberg
740066166,Apoteket Tärnan
740069230,Apoteksbolaget
740066776,Apoteksskogen
740053416,Appelkullen
740070152,Appellen
740052797,Applerum
740052031,Applerum Vassmolösa
740034667,Appleryd Tombäcksv.
740059081,Aprikosgatan
740067044,Aprilvägen
740059427,Aquarenan
740039462,Aranäs
740014103,Araskoga mejeri
740045951,Arbetargatan
740043920,Arbmans väg
740034052,Arbodaö brygga
740024436,Arboga Herrgårdsgatan
740021274,Arboga Kungsörsvägen Teknikpk
740000262,Arboga station
740025841,Arboga Teknikpark
740045146,Arboga Ålbrovägen
740069683,Arbottnavägen
740006367,Arbrå Bruks
740006368,Arbrå Centralgatan
740006375,Arbrå Hälsocentralen
740006376,Arbrå Koldemo
740006364,Arbrå kyrka
740006379,Arbrå Kyrkbyn
740006380,Arbrå Lappstan
740006382,Arbrå Netsmans
740006385,Arbrå Nytorp
740006393,Arbrå Parkgatan
740006365,Arbrå skola
740000615,Arbrå station
740006399,Arbrå Ängeslundsvägen
740006400,Arbrå Ängslunda
740050953,Arbrågatan
740037262,Arcushallen
740001440,Ardala
740062912,Ardalavägen
740066778,Ardennergatan
740068711,Ardennervägen
740070154,Ardre
740062031,Areberg
740035208,Arebro
740063949,Arena center
740062651,Arena Skövde syd
740022616,Arenan
740063036,Arenan
740064073,Arenan
740076212,Arenan
740059085,Arendal Norra
740059082,Arendal Portal
740059084,Arendal Skans
740059087,Arendal Terminal
740059083,Arendals Allé
740059086,Arendalsvägen
740061359,Arendalsvägen
740010032,Arentorp
740054933,Arentorp
740066451,Argboda
740067402,Arhem
740024314,Arholma brygga
740020730,Arild Arildsvägen
740000745,Arild Bussplatsen
740020731,Arild Nabbavägen
740035665,Aringsbergsvägen
740036636,Aritsbomåla
740000873,Arjeplog busstation
740072942,Arjeplog OK
740023792,Arjeplog torget
740034915,Arjeplog Öberget
740045404,ArkDes/Moderna museet
740001010,Arkelstorp affären
740030900,Arkelstorp Mannestadsboden
740030816,Arkelstorp Mannestadsvägen
740030817,Arkelstorp P-plats
740061444,Arken
740042268,Arket
740042550,Arket
740025206,Arkhyttan Bergå
740052941,Arkitektvägen
740060987,Arkitektvägen
740006089,Arklo
740000841,Arkösund
